"Paragraph","Person","Additional Note"
"CREASE, J. 1885. REGINA v. WING CHONG.","Crease, J.","Case Name/Heading"
"14th & 15th July, Certiorari—“Chinese Regulation Act, 1884,” s. ... Act, 1867, ss. 91, 92—“Aliens”—“Trade and Commerce”—Taxation. On the return to a writ of certiorari. Held, that the “Chinese R...vires of the Provincial Legislature, on the following grounds:","Crease, J.","Case Headnote - Chinese Regulation Act 1884, certiorari"
"1. It is an interference with the rights of Aliens.","Crease, J.","Constitutionality - Aliens"
"2. It is an interference with Trade and Commerce.","Crease, J.","Constitutionality - Trade and Commerce"
"3. It is an infraction of the existing treaties between the Imperial Government and China.","Crease, J.","Treaty Obligations"
"4. It imposes unequal taxation.","Crease, J.","Equality in Taxation"
"14th & 15th July—On the return of a writ of certiorari directed to Edwin Johnson, Esquire, Police Magistrate, at Victoria, testing the legality of a license issued under the “Chinese Regulation Act, 1884.”","Crease, J.","Case Context - Certiorari facts"
"The Attorney-General in support of the conviction said there were five points raised on the rule for the certiorari against the validity of the $10 tax.—1st. That it interfered with the Dominion powers under the B.N.A. Act over aliens and naturalization, 2nd, with trade and commerce, 3rd, with treaty obligations, 4th, was unequal and 5th was indirect taxation.","Attorney-General","Constitutionality – Dominion powers (Aliens, trade, treaty, taxation)"
"*Richards*, Q. C., for Wing Chong—The object of the Act was not to raise revenue but to exert the same power to regulate trade and commerce with foreign countries.","Richards, Q.C.","Statutory Interpretation - Regulatory purpose vs revenue (Trade and Commerce)"
"*Drake*, Q. C., on the same side, argued that the imposition of the tax was invidiously discriminatory, being aimed solely against Chinese—for instance, it elevates their coppers to one dollar—or, in other words, “demonetizing” them.","Drake, Q.C.","Equality in Taxation - Discrimination against Chinese"
"The Attorney-General in reply—The ten dollar impost was a tax, but its proper construction was that it was a general provincial license or excise tax on Chinese, for raising provincial revenue; and that, though it indirectly affected aliens, no legislative power of the Dominion was invaded, since each Province is autonomous within the bounds of its jurisdiction.","Attorney-General","Constitutionality – Provincial taxation power"
"21st August, 1885—CREASE, J.— In order to deal satisfactorily with the controversy between the parties as to whether laws are required for the government of the Province to raise money by direct taxation or for any other reason, it is necessary to understand the provisions of the statute under consideration. The Act proceeds to enact:—","Crease, J.","Judicial Reasoning – Introduction to judgment"
"1. The title.","Crease, J.","Statute Reference - Chinese Regulation Act, 1884, section 1"
"2. Defines Chinese to mean 'any native of the Chinese empire born within the dominions of the Emperor of China of Chinese parents, and shall include any person of the Chinese race.'","Crease, J.","Statute Reference - Chinese Regulation Act, 1884, section 2"
"Section 3—with which we are immediately concerned—says:—'From and after the passing of this Act, every person of the Chinese race shall, before going to work in any mine or on any claim, take out in the manner hereinafter provided a license, to be issued by the collector for such Chinese person, and pay such Chinese person a further sum of ten dollars.'","Crease, J.","Statute Reference - Chinese Regulation Act, 1884, section 3"
"Sec. 4 provides for the appointment and payment of special collectors, and enacts that no collector or assistant shall perform the duties of both, nor a collector of one district perform those of another.","Crease, J.","Statute Reference - Chinese Regulation Act, 1884, section 4"
"By Sec. 5 'Any Chinese who shall be found within the Province without having taken out a license in the form hereinafter provided, shall, on conviction thereof, forfeit and pay a sum not exceeding forty dollars.'","Crease, J.","Statute Reference - Chinese Regulation Act, 1884, section 5"
"By Sec. 6 'Any collector or Government servant wilfully disobeying the provisions of this Act shall, on conviction, forfeit and pay a sum not exceeding one hundred dollars.'","Crease, J.","Statute Reference - Chinese Regulation Act, 1884, section 6"
"By Sec. 7 'Every collector shall collect the tax from each Chinese taken out under this Act as prescribed by the Lieutenant-Governor in Council may from time to time direct."","Crease, J.","Statute Reference - Chinese Regulation Act, 1884, section 7"
"By Sec. 8 'Every employer of Chinese shall furnish to the collector, at or before the end of every month, a list in writing, verified by oath, of all Chinese employed by him within the district of the collector during the preceding month, and shall produce to the collector every license in the employer's possession or control; and the collector may, in the absence of such list and licenses, make due enquiry to ascertain the correctness of the statements in the list he does produce.'","Crease, J.","Statute Reference - Chinese Regulation Act, 1884, section 8"
"Section 9. 'In case any employer of Chinese fails to deliver his list as required by this Act, every employer so failing shall be liable, on summary conviction, to imprisonment for not less than one month and not exceeding two calendar months.'","Crease, J.","Statute Reference - Chinese Regulation Act, 1884, section 9"
"Section 10 gives the collector power to 'levy the amount of the fines, penalties, or forfeitures incurred under this Act on any property of the offender, and if the amount thereof be not paid, he may distrain, sell, and dispose of such property; and if the goods be perishable, he may summarily sell them; and in either case the costs of sale and proceedings may be deducted from the proceeds.'","Crease, J.","Statute Reference - Chinese Regulation Act, 1884, section 10"
"By section 11 every license must be demanded by the employer and retained during the Chinaman's service.","Crease, J.","Statute Reference - Chinese Regulation Act, 1884, section 11"
"By section 12 tax collectors are not to allow Chinese to pass unless a license is produced.","Crease, J.","Statute Reference - Chinese Regulation Act, 1884, section 12"
"Section 13 imposes a penalty of $50 on any person guilty of employing any Chinese not having a license.","Crease, J.","Statute Reference - Chinese Regulation Act, 1884, section 13"
"Sec. 14 Fee for free miner's certificate to a Chinese to be $15, instead of the white man's $5.","Crease, J.","Statute Reference - Chinese Regulation Act, 1884, section 14"
"Sec. 15. Penalty not exceeding $30 for every Chinaman mining without a license.","Crease, J.","Statute Reference - Chinese Regulation Act, 1884, section 15"
