net_tfa,age,inc,educ,fsize,marr,twoearn,db,pira,hown,e401
0.0,47,6.765,8,2,0,0,0,0,1,0
1.015,36,28.452,16,1,0,0,0,0,1,0
-2.0,37,3.3,12,6,0,0,1,0,0,0
15.0,58,52.59,16,2,1,1,0,0,1,0
0.0,32,21.804,11,1,0,0,0,0,1,0
27.8,34,34.68,16,1,0,0,0,1,1,0
2.913,28,21.6,12,3,1,1,0,1,1,0
-0.65,54,4.686,11,3,0,0,0,0,1,0
37.279,43,65.82,14,2,1,1,1,1,1,0
1.9,32,37.26,18,3,1,0,0,0,1,0
0.783,52,15.306,12,3,1,0,0,0,1,0
-10.0,30,58.413,18,4,1,1,0,0,0,0
-0.74,63,21.63,15,2,0,0,0,0,1,0
0.0,38,30.6,18,1,1,0,0,0,0,0
-4.7,32,33.414,13,4,1,1,0,0,0,0
-1.0,29,14.58,12,3,0,0,0,0,0,0
-16.901,40,57.477,17,4,1,1,1,0,1,0
2.0,30,46.008,10,4,1,0,0,0,1,0
0.0,44,3.825,12,1,0,0,0,0,0,0
0.0,57,5.22,18,1,0,0,1,0,0,0
-0.8,42,9.12,10,5,0,0,0,0,1,0
52.9,41,69.693,16,4,1,1,0,1,1,0
-9.94,39,52.11,16,1,0,0,1,0,0,0
0.0,53,30.0,12,3,1,0,0,0,1,0
2.0,64,26.826,12,1,0,0,0,0,1,0
0.0,37,10.524,14,3,0,0,0,0,0,0
0.0,62,33.228,12,2,1,1,0,0,0,0
-2.238,55,60.528,12,2,1,0,0,0,1,0
-2.797,39,13.512,12,3,1,1,1,0,1,0
97.664,58,44.64,12,1,0,0,0,1,1,0
-0.5,43,14.28,4,4,1,0,0,0,0,0
-4.7,37,28.134,13,3,1,0,0,0,0,0
0.249,31,14.931,16,1,0,0,0,0,1,0
0.4,25,26.535,14,2,1,0,0,0,0,0
-3.0,39,48.36,13,4,1,1,0,0,1,0
5.0,41,31.635,13,2,0,0,0,0,1,0
24.654,52,40.041,14,3,0,0,0,0,1,0
-5.0,43,22.41,12,1,0,0,1,0,0,0
0.7,37,27.072,9,5,1,1,0,0,0,0
0.0,47,21.42,13,1,0,0,0,0,1,0
3.55,57,34.41,15,3,1,1,0,0,1,0
-3.9,36,23.7,12,4,1,1,0,0,1,0
-7.35,30,19.95,14,3,1,0,0,0,0,0
-2.45,29,23.274,12,3,0,0,0,0,0,0
41.8,54,20.019,13,3,1,0,0,1,1,0
-0.2,47,1.2,15,2,0,0,0,0,0,0
16.597,51,85.98,18,2,1,0,0,1,1,0
4.883,44,26.472,12,4,1,0,0,0,1,0
8.3,61,37.911,12,5,1,1,0,0,1,0
-0.55,30,15.822,15,4,1,0,0,0,1,0
11.73,48,77.913,14,2,1,1,1,0,1,0
90.55,39,159.696,16,2,1,1,0,1,1,0
-5.5,36,25.2,12,4,0,0,0,0,0,0
9.918,39,23.046,14,1,0,0,0,1,1,0
-0.12,26,15.45,12,3,0,0,0,0,1,0
2.05,37,25.92,18,1,0,0,0,0,0,0
-3.9,37,13.839,16,1,0,0,0,0,1,0
-1.002,32,10.164,12,5,0,0,0,0,1,0
-3.6,30,27.624,12,1,0,0,1,0,1,0
-12.465,50,41.217,7,4,1,1,0,0,1,0
-6.994,45,35.565,12,3,0,0,0,0,0,0
-10.275,30,57.0,14,2,1,1,0,0,1,0
5.0,41,54.852,12,5,1,1,1,0,1,0
-19.84,31,25.002,12,4,1,1,0,0,0,0
1.384,30,46.398,16,4,1,1,0,0,1,0
0.0,46,18.0,14,2,0,0,0,1,1,0
20.7,38,33.576,10,4,1,0,0,0,1,0
2.25,25,3.15,16,1,0,0,0,0,0,0
59.498,46,64.203,12,5,1,1,1,0,0,0
0.01,29,16.194,12,3,0,0,0,0,1,0
1.4,58,14.4,4,5,1,0,0,0,1,0
10.6,46,41.622,11,5,1,0,0,1,1,0
-1.068,42,60.384,12,4,1,1,0,0,1,0
41.302,63,46.122,13,2,1,0,0,0,1,0
10.055,34,41.757,12,4,1,0,0,1,1,0
-0.1,40,58.32,12,3,1,1,0,0,1,0
-5.1,35,38.244,16,3,1,1,0,0,0,0
-0.55,43,14.292,12,3,1,0,0,0,1,0
-1.4,37,24.231,13,4,1,1,0,0,1,0
0.8,32,25.314,12,1,0,0,0,0,0,0
-1.847,54,4.917,11,1,0,0,0,0,0,0
-0.05,30,12.051,18,1,0,0,0,0,0,0
