respondent_id,age,gender,education,province,industry,union_member,weekly_hours,hourly_wage
1,23,Man,Bachelor's degree,British Columbia,Manufacturing,0,40.0,31.61
2,55,Man,Graduate degree,Ontario,Health care,0,37.5,49.16
3,49,Man,College diploma,Quebec,Retail,0,40.0,24.7
4,39,Man,College diploma,Ontario,Education,0,40.0,26.09
5,39,Man,Bachelor's degree,British Columbia,Technology,0,35.0,53.48
6,59,Man,College diploma,British Columbia,Health care,1,37.5,36.0
7,23,Woman,Bachelor's degree,Quebec,Health care,0,37.5,27.89
8,51,Man,College diploma,Quebec,Technology,0,35.0,71.43
9,28,Man,High school,Manitoba,Education,1,35.0,26.31
10,23,Woman,Bachelor's degree,Ontario,Construction,0,40.0,43.31
11,43,Woman,High school,Alberta,Public administration,1,35.0,32.54
12,64,Man,High school,Alberta,Technology,0,40.0,48.61
13,53,Woman,Bachelor's degree,British Columbia,Public administration,1,40.0,48.52
14,54,Woman,Bachelor's degree,British Columbia,Public administration,0,25.0,33.87
15,52,Woman,Graduate degree,British Columbia,Public administration,1,40.0,78.71
16,55,Woman,High school,Ontario,Technology,0,35.0,45.49
17,43,Woman,High school,British Columbia,Education,0,35.0,38.63
18,25,Man,Graduate degree,British Columbia,Hospitality,0,37.5,24.91
19,58,Woman,High school,Manitoba,Health care,0,40.0,35.2
20,40,Man,High school,British Columbia,Technology,0,40.0,35.52
21,42,Man,College diploma,British Columbia,Health care,0,37.5,49.04
22,36,Woman,College diploma,Manitoba,Finance,0,37.5,45.7
23,27,Woman,Graduate degree,Alberta,Retail,0,40.0,35.17
24,62,Man,Bachelor's degree,Ontario,Manufacturing,0,37.5,59.57
25,55,Woman,Bachelor's degree,Quebec,Health care,1,40.0,59.84
26,49,Woman,High school,British Columbia,Health care,0,21.0,42.45
27,37,Man,College diploma,Quebec,Retail,0,37.5,20.36
28,57,Nonbinary,College diploma,Quebec,Hospitality,0,26.0,25.4
29,44,Man,High school,Ontario,Finance,0,35.0,34.03
30,39,Woman,High school,Ontario,Health care,0,37.5,38.87
31,40,Man,College diploma,Ontario,Retail,0,40.0,29.92
32,29,Man,High school,Ontario,Retail,0,35.0,17.4
33,23,Woman,College diploma,Ontario,Health care,0,40.0,26.77
34,45,Man,Bachelor's degree,British Columbia,Hospitality,0,29.0,23.74
35,60,Woman,High school,Quebec,Technology,0,35.0,46.17
36,21,Woman,College diploma,Manitoba,Technology,0,35.0,23.82
37,59,Man,Bachelor's degree,Ontario,Hospitality,0,24.0,38.57
38,57,Woman,Bachelor's degree,Alberta,Education,0,16.0,48.0
39,32,Woman,Bachelor's degree,British Columbia,Hospitality,0,37.5,43.19
40,48,Man,College diploma,Saskatchewan,Construction,1,40.0,47.53
41,26,Nonbinary,Bachelor's degree,Saskatchewan,Finance,0,40.0,38.37
42,54,Man,High school,Alberta,Health care,1,12.0,43.64
43,51,Man,College diploma,British Columbia,Finance,0,37.5,35.55
44,35,Nonbinary,High school,British Columbia,Hospitality,0,40.0,18.89
45,22,Woman,College diploma,Saskatchewan,Construction,0,12.0,29.68
46,64,Woman,College diploma,Alberta,Health care,0,25.0,24.42
47,39,Woman,High school,Quebec,Health care,1,37.5,32.85
48,60,Woman,Bachelor's degree,British Columbia,Public administration,1,40.0,39.24
49,50,Man,College diploma,British Columbia,Retail,0,40.0,31.72
50,55,Woman,High school,British Columbia,Finance,0,28.0,35.17
51,54,Woman,High school,Manitoba,Finance,1,37.5,48.88
52,28,Woman,College diploma,Saskatchewan,Health care,1,40.0,30.95
53,36,Woman,College diploma,Ontario,Manufacturing,0,35.0,45.68
54,40,Man,College diploma,Quebec,Health care,0,40.0,36.69
55,42,Woman,High school,British Columbia,Construction,1,40.0,29.13
56,21,Woman,Bachelor's degree,Ontario,Technology,0,40.0,37.73
57,44,Woman,Graduate degree,British Columbia,Health care,1,40.0,38.56
58,26,Man,College diploma,British Columbia,Public administration,1,37.5,34.46
59,53,Man,Bachelor's degree,Alberta,Education,1,40.0,50.09
60,51,Man,Bachelor's degree,British Columbia,Health care,0,40.0,79.17
61,62,Woman,Graduate degree,Ontario,Technology,0,40.0,60.44
62,54,Woman,Bachelor's degree,Ontario,Health care,1,37.5,43.69
63,36,Man,Graduate degree,Ontario,Finance,0,35.0,51.26
64,64,Man,Graduate degree,Saskatchewan,Hospitality,0,37.5,41.54
65,38,Man,Bachelor's degree,Ontario,Public administration,1,37.5,48.06
66,34,Man,College diploma,Alberta,Technology,0,40.0,43.13
67,61,Man,High school,British Columbia,Finance,0,40.0,56.29
68,36,Woman,High school,British Columbia,Health care,0,16.0,27.88
69,22,Woman,College diploma,Ontario,Finance,1,40.0,41.44
70,41,Man,College diploma,Quebec,Construction,0,37.5,42.08
71,56,Woman,College diploma,British Columbia,Technology,0,37.5,51.18
72,27,Man,College diploma,Manitoba,Hospitality,0,37.5,20.91
73,40,Woman,College diploma,Ontario,Construction,0,37.5,63.1
74,25,Man,Bachelor's degree,Ontario,Health care,0,35.0,28.24
75,51,Man,High school,Manitoba,Construction,1,37.5,39.01
76,41,Man,High school,Ontario,Manufacturing,1,29.0,27.55
77,34,Man,Bachelor's degree,Ontario,Finance,0,40.0,71.44
78,29,Man,Bachelor's degree,Quebec,Construction,0,35.0,44.75
79,45,Man,Graduate degree,British Columbia,Technology,0,37.5,57.77
80,50,Woman,Bachelor's degree,Quebec,Retail,1,35.0,40.34
81,63,Man,Graduate degree,British Columbia,Technology,0,25.0,73.06
82,39,Man,College diploma,Ontario,Technology,0,40.0,41.53
83,26,Woman,College diploma,British Columbia,Manufacturing,0,37.5,33.69
84,58,Woman,High school,British Columbia,Technology,0,35.0,51.06
85,48,Man,Bachelor's degree,British Columbia,Public administration,1,23.0,50.52
86,51,Man,Graduate degree,Alberta,Technology,0,40.0,68.66
87,23,Woman,College diploma,British Columbia,Manufacturing,0,40.0,29.48
88,33,Woman,College diploma,British Columbia,Health care,0,40.0,35.23
89,55,Woman,College diploma,Alberta,Technology,0,40.0,51.95
90,58,Woman,High school,Alberta,Construction,0,40.0,32.02
91,39,Man,High school,Ontario,Technology,0,37.5,61.72
92,56,Woman,High school,Quebec,Construction,0,40.0,29.28
93,58,Woman,Graduate degree,Ontario,Technology,0,37.5,76.82
94,37,Man,College diploma,British Columbia,Retail,0,24.0,25.94
95,61,Woman,Bachelor's degree,British Columbia,Retail,0,37.5,53.45
96,32,Woman,Bachelor's degree,Quebec,Public administration,1,35.0,33.35
