nid,date,title,agency_id,nail_num,img_url,img_path,photographer,photographer_desc,birth_year,death_year,id,place_name,coordinates
542494,1972-05-01,Discarded Pesticide Cans,001/01/000000,NWDNS-412-DA-1,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/Batch0001/Box_01/412-DA-001.tif,542494.jpg,"Daniels, Gene,",NA,NA,NA,10045251,California,"37 00 N, 119 00 W (37, -119)"
542495,1972-05-01,Dusting Grape Vines,001/02/000000,NWDNS-412-DA-2,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/Batch0001/Box_01/412-DA-002.tif,542495.jpg,"Daniels, Gene,",NA,NA,NA,10046104,Fresno (Calif.),"36 44 N, 119 46 W (36.733, -119.77)"
542496,1972-05-01,Preparing to Sulfur-Dust Grape Vines,001/03/000000,NWDNS-412-DA-3,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/Batch0001/Box_01/412-DA-003.tif,542496.jpg,"Daniels, Gene,",NA,NA,NA,10046104,Fresno (Calif.),"36 44 N, 119 46 W (36.733, -119.77)"
542497,1972-05-01,Pilot of Dusting Plane,001/04/000000,NWDNS-412-DA-4,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/Batch0001/Box_01/412-DA-004.tif,542497.jpg,"Daniels, Gene,",NA,NA,NA,10046104,Fresno (Calif.),"36 44 N, 119 46 W (36.733, -119.77)"
542498,1972-05-01,Preparing to Sulfur-Dust Grape Vines,001/05/000000,NWDNS-412-DA-5,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/Batch0001/Box_01/412-DA-005.tif,542498.jpg,"Daniels, Gene,",NA,NA,NA,10046104,Fresno (Calif.),"36 44 N, 119 46 W (36.733, -119.77)"
542499,1972-05-01,Preparing to Sulfur-Dust Grape Vines,001/06/000000,NWDNS-412-DA-6,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/Batch0001/Box_01/412-DA-006.tif,542499.jpg,"Daniels, Gene,",NA,NA,NA,10046104,Fresno (Calif.),"36 44 N, 119 46 W (36.733, -119.77)"
542500,1972-05-01,Sulfur-Dusting of Grape Vines,001/07/000000,NWDNS-412-DA-7,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/Batch0001/Box_01/412-DA-007.tif,542500.jpg,"Daniels, Gene,",NA,NA,NA,10046104,Fresno (Calif.),"36 44 N, 119 46 W (36.733, -119.77)"
542501,1972-05-01,Sulfur-Dusting of Grape Vines,001/08/000000,NWDNS-412-DA-8,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/Batch0001/Box_01/412-DA-008.tif,542501.jpg,"Daniels, Gene,",NA,NA,NA,10046104,Fresno (Calif.),"36 44 N, 119 46 W (36.733, -119.77)"
542502,1972-05-01,Sulfur-Dusting of Grape Vines,001/09/000000,NWDNS-412-DA-9,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/Batch0001/Box_01/412-DA-009.tif,542502.jpg,"Daniels, Gene,",NA,NA,NA,10046104,Fresno (Calif.),"36 44 N, 119 46 W (36.733, -119.77)"
542503,1972-05-01,Sulfur-Dusting of Grape Vines,001/10/000000,NWDNS-412-DA-10,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/Batch0001/Box_01/412-DA-010.tif,542503.jpg,"Daniels, Gene,",NA,NA,NA,10046104,Fresno (Calif.),"36 44 N, 119 46 W (36.733, -119.77)"
542504,1972-05-01,Sulfur-Dusting of Grape Vines,001/11/000000,NWDNS-412-DA-11,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/Batch0001/Box_01/412-DA-011.tif,542504.jpg,"Daniels, Gene,",NA,NA,NA,10046104,Fresno (Calif.),"36 44 N, 119 46 W (36.733, -119.77)"
542505,1972-05-01,Sulfur-Dusting of Grape Vines,001/12/000000,NWDNS-412-DA-12,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/Batch0001/Box_01/412-DA-012.tif,542505.jpg,"Daniels, Gene,",NA,NA,NA,10046104,Fresno (Calif.),"36 44 N, 119 46 W (36.733, -119.77)"
542506,1972-05-01,Sulfur-Dusting of Grape Vines,001/13/000000,NWDNS-412-DA-13,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/Batch0001/Box_01/412-DA-013.tif,542506.jpg,"Daniels, Gene,",NA,NA,NA,10046104,Fresno (Calif.),"36 44 N, 119 46 W (36.733, -119.77)"
542507,1972-05-01,Discarded Pesticide Cans,001/14/000000,NWDNS-412-DA-14,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/Batch0001/Box_01/412-DA-014.tif,542507.jpg,"Daniels, Gene,",NA,NA,NA,10046104,Fresno (Calif.),"36 44 N, 119 46 W (36.733, -119.77)"
542508,1972-05-01,California - Near Fresno,001/15/000000,NWDNS-412-DA-15,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/Batch0001/Box_01/412-DA-015.tif,542508.jpg,"Daniels, Gene,",NA,NA,NA,10046104,Fresno (Calif.),"36 44 N, 119 46 W (36.733, -119.77)"
542509,1972-05-01,Opening of Troutfishing Season,001/16/000000,NWDNS-412-DA-16,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/Batch0001/Box_01/412-DA-016.tif,542509.jpg,"Daniels, Gene,",NA,NA,NA,10038849,Kings River (Calif.),"36 50 N, 118 52 W (36.833, -118.87)"
542510,1972-05-01,California - San Joaquin Valley,001/17/000000,NWDNS-412-DA-17,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/Batch0001/Box_01/412-DA-017.tif,542510.jpg,"Daniels, Gene,",NA,NA,NA,10040462,"San Joaquin (Fresno County, Calif.)","36 36 N, 120 11 W (36.6, -120.18)"
542511,1972-05-01,Oil Waste On Barren Hillside,001/18/000000,NWDNS-412-DA-18,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/Batch0001/Box_01/412-DA-019.tif,542511.jpg,"Daniels, Gene,",NA,NA,NA,10040485,Coalinga (Calif.),"36 08 N, 120 21 W (36.133, -120.35)"
