nid,date,title,agency_id,nail_num,img_url,img_path,photographer,photographer_desc,birth_year,death_year,id,place_name,coordinates,category
542663,1972-05-01,"EDGARD STEPHENS, PROFESSOR OF ENVIRONMENTAL SCIENCE AT THE STATEWIDE AIR POLLUTION RESEARCH CENTER, USING OPTICAL PARTICLE COUNTER",003/50/000000,NWDNS-412-DA-170,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/412-DA-00170_01-0405M.TIF,542663.jpg,"Daniels, Gene,",,,,10046392.0,Riverside (Calif.),"33 57 N, 117 23 W (33.95, -117.38)",Pollution and Environmental Damage
542673,1972-05-01,SMOG OVER LOS ANGELES IS MONITORED BY SCIENTISTS FROM NASA AND STATEWIDE AIR POLLUTION RESEARCH CENTER. THEY ARE TAKING HYDROCARBON SAMPLES THROUGH NOSE OF NASA-SUPPLIED PLANE,003/60/000000,NWDNS-412-DA-180,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/412-DA-00180_01-0415M.TIF,542673.jpg,"Daniels, Gene,",,,,10046660.0,Los Angeles (Calif.),"34 03 N, 118 14 W (34.05, -118.23)",Pollution and Environmental Damage
542728,1972-05-01,HOLIDAY CROWDS VISIT GENERAL SHERMAN TREE,004/55/000000,NWDNS-412-DA-235,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/412-DA-00235_02-0308M.TIF,542728.jpg,"Daniels, Gene,",,,,10044121.0,Sequoia National Forest (Calif.),"36 00 N, 118 30 W (36, -118.5)",Nature and Wildlife
542759,1972-05-01,AIR POLLUTION CONTROL DEPARTMENT OFFICERS MEL SCHRECKENGOST AND DICK FEHRENBACK DISCUSSING CITATION WITH DRIVER OF VIOLATING TRUCK,005/26/000000,NWDNS-412-DA-266,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/412-DA-00266_02-0339M.TIF,542759.jpg,"Daniels, Gene,",,,,10046015.0,Long Beach (Calif.),"33 46 N, 118 11 W (33.767, -118.18)",Transportation and Infrastructure
542766,1972-05-01,AIR POLLUTION CONTROL CENTER,005/33/000000,NWDNS-412-DA-273,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/412-DA-00273_02-0346M.TIF,542766.jpg,"Daniels, Gene,",,,,10036457.0,Los Angeles County (Calif.),"34 22 N, 118 12 W (34.367, -118.2)",Urban Landscape
542883,1972-05-01,CALIFORNIA--MOONSTONE BEACH,007/30/000000,NWDNS-412-DA-390,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/412-DA-00390_02-0463M.TIF,542883.jpg,"Sennett, Tomas","Tomas Sennett, photojournalist and contributing photographer to the Environmental Protection Agency's Documerica project in the early 1970s.",,,10040528.0,Moonstone (Calif.),"41 01 N, 124 06 W (41.017, -124.1)",Rural Landscape
543371,1972-05-01,"Packing Expedition Of Explorer Post 397 Of Los Angeles Area. Hike Started At 7500 Ft., Finished At Frozen Monarch Lake (11,200 ft.)",015/39/000000,NWDNS-412-DA-878,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/412-DA-00878_04-0999M.TIF,543371.jpg,"Rowan, Dick","Dick Rowan, photojournalist and contributing photographer to the Environmental Protection Agency's Documerica project in the early 1970s.",,,10043776.0,Monarch Lakes (Calif.),"36 27 N, 118 33 W (36.45, -118.55)",Nature and Wildlife
543533,1972-05-01,Scum Along Lake Shore,018/21/000000,NWDNS-412-DA-1040,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/412-DA-01040_05-1581M.TIF,543533.jpg,"Rain, Belinda","Belinda Rain, Documerica photographer for the Environmental Protection Agency in the early 1970s.",,,10043964.0,"Tahoe, Lake (Calif. and Nev.)","39 10 N, 120 08 W (39.167, -120.13)",Pollution and Environmental Damage
543584,1972-05-01,Condominium Construction,019/12/000000,NWDNS-412-DA-1091,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/412-DA-01091_05-1632M.TIF,543584.jpg,"Rain, Belinda","Belinda Rain, Documerica photographer for the Environmental Protection Agency in the early 1970s.",,,10043964.0,"Tahoe, Lake (Calif. and Nev.)","39 10 N, 120 08 W (39.167, -120.13)",Pollution and Environmental Damage
543750,1972-05-01,"SETTLING POND WHERE WASTES ARE ALLOWED TO ""SETTLE OUT"" FROM MILLING PROCESS AT IDARADO MILL",021/57/001257,NWDNS-412-DA-1257,https://s3.us-east-1.amazonaws.com/NARAprodstorage/lz/stillpix/412-da/412-DA-01257_05-1798M.TIF,543750.jpg,"Gillette, Bill,","Bill Gillette (b. Apr. 3, 1932), photojournalist.",1932.0,,10040221.0,Telluride (Colo.),"37 56 N, 107 48 W (37.933, -107.8)",Pollution and Environmental Damage
