"","province","state","tmerch_value_usd","gdp"
"1","Alberta","Alabama",877384086,234526.4
"2","Alberta","Alaska",345988655,54469.9
"3","Alberta","Arizona",423062944,375545
"4","Alberta","Arkansas",121043779,132637.2
"5","Alberta","California",4450662689,3062158.9
"6","Alberta","Colorado",3916792877,397701.6
"7","Alberta","Connecticut",111538196,285466.4
"8","Alberta","Delaware",1170497993,78685.8
"9","Alberta","District of Columbia",1402071,145171
"10","Alberta","Florida",496560071,1127988.6
"11","Alberta","Georgia",551136511,646939
"12","Alberta","Hawaii",7795853,93356.2
"13","Alberta","Idaho",1051666752,84550.2
"14","Alberta","Illinois",38714215632,895800
"15","Alberta","Indiana",502418301,385446.2
"16","Alberta","Iowa",737723416,196085.1
"17","Alberta","Kansas",447326373,176917.7
"18","Alberta","Kentucky",444734752,220683.3
"19","Alberta","Louisiana",2738211894,257096.7
"20","Alberta","Maine",55158299,69298.2
"21","Alberta","Maryland",76228359,419447.6
"22","Alberta","Massachusetts",660012314,588617.5
"23","Alberta","Michigan",4403797428,536975.6
"24","Alberta","Minnesota",6153356313,383961.6
"25","Alberta","Mississippi",167819525,115441.7
"26","Alberta","Missouri",3493517326,334364.7
"27","Alberta","Montana",3020864116,52772.5
"28","Alberta","Nebraska",179310563,132741
"29","Alberta","Nevada",440207399,184343.9
"30","Alberta","New Hampshire",40298710,87472
"31","Alberta","New Jersey",574665211,641877.6
"32","Alberta","New Mexico",82882081,103869.2
"33","Alberta","New York",2044214330,1793261.3
"34","Alberta","North Carolina",384048034,593126.9
"35","Alberta","North Dakota",3585486397,60516.3
"36","Alberta","Ohio",1941221825,703127.8
"37","Alberta","Oklahoma",4756936471,205262.6
"38","Alberta","Oregon",966140743,248939.8
"39","Alberta","Pennsylvania",2109800414,803078
"40","Alberta","Puerto Rico",16807518,NA
"41","Alberta","Rhode Island",14589962,62526.9
"42","Alberta","South Carolina",498076746,248046.5
"43","Alberta","South Dakota",170484437,55007.4
"44","Alberta","Tennessee",484998540,385819.5
"45","Alberta","Texas",12879269821,1860108.3
"46","Alberta","US Virgin Islands",208582,NA
"47","Alberta","Unknown states",390382835,NA
"48","Alberta","Utah",939009650,201285.4
"49","Alberta","Vermont",114363132,34628.1
"50","Alberta","Virginia",249972367,561989.6
"51","Alberta","Washington",10700995308,608966.4
"52","Alberta","West Virginia",68205564,79883.8
"53","Alberta","Wisconsin",1342299272,347398.6
"54","Alberta","Wyoming",1356555518,39971.4
"55","British Columbia","Alabama",357944294,234526.4
"56","British Columbia","Alaska",999946659,54469.9
"57","British Columbia","Arizona",553972943,375545
"58","British Columbia","Arkansas",204320059,132637.2
"59","British Columbia","California",6163033474,3062158.9
"60","British Columbia","Colorado",452984998,397701.6
"61","British Columbia","Connecticut",249946000,285466.4
"62","British Columbia","Delaware",16909320,78685.8
"63","British Columbia","District of Columbia",5834801,145171
"64","British Columbia","Florida",493914230,1127988.6
"65","British Columbia","Georgia",745064382,646939
"66","British Columbia","Hawaii",55080949,93356.2
"67","British Columbia","Idaho",498047161,84550.2
"68","British Columbia","Illinois",2854635139,895800
"69","British Columbia","Indiana",949821654,385446.2
"70","British Columbia","Iowa",254178857,196085.1
"71","British Columbia","Kansas",200277639,176917.7
"72","British Columbia","Kentucky",316121107,220683.3
"73","British Columbia","Louisiana",409468763,257096.7
"74","British Columbia","Maine",72360786,69298.2
"75","British Columbia","Maryland",180804761,419447.6
"76","British Columbia","Massachusetts",340060741,588617.5
"77","British Columbia","Michigan",454068072,536975.6
"78","British Columbia","Minnesota",649015365,383961.6
"79","British Columbia","Mississippi",180547738,115441.7
"80","British Columbia","Missouri",520020614,334364.7
"81","British Columbia","Montana",607595372,52772.5
"82","British Columbia","Nebraska",188243211,132741
"83","British Columbia","Nevada",356580322,184343.9
"84","British Columbia","New Hampshire",75163328,87472
"85","British Columbia","New Jersey",398132562,641877.6
"86","British Columbia","New Mexico",44484112,103869.2
"87","British Columbia","New York",923418106,1793261.3
"88","British Columbia","North Carolina",468274501,593126.9
"89","British Columbia","North Dakota",191890686,60516.3
"90","British Columbia","Ohio",820853049,703127.8
"91","British Columbia","Oklahoma",312422926,205262.6
"92","British Columbia","Oregon",2822552706,248939.8
"93","British Columbia","Pennsylvania",808656770,803078
"94","British Columbia","Puerto Rico",7525844,NA
"95","British Columbia","Rhode Island",88983267,62526.9
"96","British Columbia","South Carolina",204772096,248046.5
"97","British Columbia","South Dakota",101644779,55007.4
"98","British Columbia","Tennessee",501919269,385819.5
"99","British Columbia","Texas",1925138309,1860108.3
"100","British Columbia","US Virgin Islands",1062761,NA
"101","British Columbia","Unknown states",895901179,NA
"102","British Columbia","Utah",465283825,201285.4
"103","British Columbia","Vermont",52451118,34628.1
"104","British Columbia","Virginia",209920178,561989.6
"105","British Columbia","Washington",11576555845,608966.4
"106","British Columbia","West Virginia",38822534,79883.8
"107","British Columbia","Wisconsin",839261553,347398.6
"108","British Columbia","Wyoming",49012581,39971.4
"109","Manitoba","Alabama",240823191,234526.4
"110","Manitoba","Alaska",5173691,54469.9
"111","Manitoba","Arizona",126903440,375545
"112","Manitoba","Arkansas",241647854,132637.2
"113","Manitoba","California",697429250,3062158.9
"114","Manitoba","Colorado",194451464,397701.6
"115","Manitoba","Connecticut",97965748,285466.4
"116","Manitoba","Delaware",37488566,78685.8
"117","Manitoba","District of Columbia",3003171,145171
"118","Manitoba","Florida",670313421,1127988.6
"119","Manitoba","Georgia",697101754,646939
"120","Manitoba","Hawaii",2325609,93356.2
"121","Manitoba","Idaho",100943975,84550.2
"122","Manitoba","Illinois",3250249312,895800
"123","Manitoba","Indiana",1188054209,385446.2
"124","Manitoba","Iowa",1346895722,196085.1
"125","Manitoba","Kansas",268368505,176917.7
"126","Manitoba","Kentucky",1150464687,220683.3
"127","Manitoba","Louisiana",271069882,257096.7
"128","Manitoba","Maine",28643893,69298.2
"129","Manitoba","Maryland",124733922,419447.6
"130","Manitoba","Massachusetts",170487236,588617.5
"131","Manitoba","Michigan",471761588,536975.6
"132","Manitoba","Minnesota",2902561243,383961.6
"133","Manitoba","Mississippi",133485645,115441.7
"134","Manitoba","Missouri",670929915,334364.7
"135","Manitoba","Montana",63817264,52772.5
"136","Manitoba","Nebraska",504005648,132741
"137","Manitoba","Nevada",57786396,184343.9
"138","Manitoba","New Hampshire",39029639,87472
"139","Manitoba","New Jersey",508306918,641877.6
"140","Manitoba","New Mexico",30636597,103869.2
"141","Manitoba","New York",663022339,1793261.3
"142","Manitoba","North Carolina",552148017,593126.9
"143","Manitoba","North Dakota",1346952865,60516.3
"144","Manitoba","Ohio",1176471018,703127.8
"145","Manitoba","Oklahoma",279798550,205262.6
"146","Manitoba","Oregon",125615751,248939.8
"147","Manitoba","Pennsylvania",808706569,803078
"148","Manitoba","Puerto Rico",27648990,NA
"149","Manitoba","Rhode Island",10869022,62526.9
"150","Manitoba","South Carolina",520454937,248046.5
"151","Manitoba","South Dakota",269758904,55007.4
"152","Manitoba","Tennessee",2632280526,385819.5
"153","Manitoba","Texas",1734153490,1860108.3
"154","Manitoba","US Virgin Islands",37613,NA
"155","Manitoba","Unknown states",86311317,NA
"156","Manitoba","Utah",313290351,201285.4
"157","Manitoba","Vermont",24757283,34628.1
"158","Manitoba","Virginia",257278107,561989.6
"159","Manitoba","Washington",351103445,608966.4
"160","Manitoba","West Virginia",70192490,79883.8
"161","Manitoba","Wisconsin",1679277186,347398.6
"162","Manitoba","Wyoming",14467441,39971.4
"163","New Brunswick","Alabama",45543011,234526.4
"164","New Brunswick","Alaska",1231566,54469.9
"165","New Brunswick","Arizona",8042596,375545
"166","New Brunswick","Arkansas",12493890,132637.2
"167","New Brunswick","California",133514066,3062158.9
"168","New Brunswick","Colorado",19702183,397701.6
"169","New Brunswick","Connecticut",207445281,285466.4
"170","New Brunswick","Delaware",111596613,78685.8
"171","New Brunswick","District of Columbia",4340270,145171
"172","New Brunswick","Florida",232680734,1127988.6
"173","New Brunswick","Georgia",272248273,646939
"174","New Brunswick","Hawaii",202603,93356.2
"175","New Brunswick","Idaho",16829068,84550.2
"176","New Brunswick","Illinois",166917000,895800
"177","New Brunswick","Indiana",199624227,385446.2
"178","New Brunswick","Iowa",42609816,196085.1
"179","New Brunswick","Kansas",30373153,176917.7
"180","New Brunswick","Kentucky",51027522,220683.3
"181","New Brunswick","Louisiana",333009940,257096.7
"182","New Brunswick","Maine",2918119357,69298.2
"183","New Brunswick","Maryland",175690724,419447.6
"184","New Brunswick","Massachusetts",3101948182,588617.5
"185","New Brunswick","Michigan",83828359,536975.6
"186","New Brunswick","Minnesota",60089432,383961.6
"187","New Brunswick","Mississippi",13424506,115441.7
"188","New Brunswick","Missouri",65426551,334364.7
"189","New Brunswick","Montana",1960366,52772.5
"190","New Brunswick","Nebraska",6503302,132741
"191","New Brunswick","Nevada",15480549,184343.9
"192","New Brunswick","New Hampshire",2869761442,87472
"193","New Brunswick","New Jersey",330761991,641877.6
"194","New Brunswick","New Mexico",792314,103869.2
"195","New Brunswick","New York",440721336,1793261.3
"196","New Brunswick","North Carolina",267110010,593126.9
"197","New Brunswick","North Dakota",13629641,60516.3
"198","New Brunswick","Ohio",167580191,703127.8
"199","New Brunswick","Oklahoma",56685758,205262.6
"200","New Brunswick","Oregon",36556140,248939.8
"201","New Brunswick","Pennsylvania",538645850,803078
"202","New Brunswick","Puerto Rico",183799785,NA
"203","New Brunswick","Rhode Island",427441185,62526.9
"204","New Brunswick","South Carolina",291479883,248046.5
"205","New Brunswick","South Dakota",4703889,55007.4
"206","New Brunswick","Tennessee",165766058,385819.5
"207","New Brunswick","Texas",3070225451,1860108.3
"208","New Brunswick","US Virgin Islands",715376,NA
"209","New Brunswick","Unknown states",71788636,NA
"210","New Brunswick","Utah",10641927,201285.4
"211","New Brunswick","Vermont",18165249,34628.1
"212","New Brunswick","Virginia",171269220,561989.6
"213","New Brunswick","Washington",46770971,608966.4
"214","New Brunswick","West Virginia",90803819,79883.8
"215","New Brunswick","Wisconsin",104781739,347398.6
"216","New Brunswick","Wyoming",1540950,39971.4
"217","Newfoundland and Labrador","Alabama",9008173,234526.4
"218","Newfoundland and Labrador","Alaska",707490,54469.9
"219","Newfoundland and Labrador","Arizona",549286,375545
"220","Newfoundland and Labrador","Arkansas",283581,132637.2
"221","Newfoundland and Labrador","California",123010190,3062158.9
"222","Newfoundland and Labrador","Colorado",16697,397701.6
"223","Newfoundland and Labrador","Connecticut",275616763,285466.4
"224","Newfoundland and Labrador","Delaware",279768328,78685.8
"225","Newfoundland and Labrador","District of Columbia",6981,145171
"226","Newfoundland and Labrador","Florida",261113911,1127988.6
"227","Newfoundland and Labrador","Georgia",27227823,646939
"228","Newfoundland and Labrador","Hawaii",8090,93356.2
"229","Newfoundland and Labrador","Idaho",65059,84550.2
"230","Newfoundland and Labrador","Illinois",21160871,895800
"231","Newfoundland and Labrador","Indiana",36544271,385446.2
"232","Newfoundland and Labrador","Iowa",3014933,196085.1
"233","Newfoundland and Labrador","Kansas",787248,176917.7
"234","Newfoundland and Labrador","Kentucky",37345588,220683.3
"235","Newfoundland and Labrador","Louisiana",916198102,257096.7
"236","Newfoundland and Labrador","Maine",63385670,69298.2
"237","Newfoundland and Labrador","Maryland",38869237,419447.6
"238","Newfoundland and Labrador","Massachusetts",640503662,588617.5
"239","Newfoundland and Labrador","Michigan",22571641,536975.6
"240","Newfoundland and Labrador","Minnesota",5570204,383961.6
"241","Newfoundland and Labrador","Mississippi",1910611,115441.7
"242","Newfoundland and Labrador","Missouri",1927089,334364.7
"243","Newfoundland and Labrador","Montana",25674,52772.5
"244","Newfoundland and Labrador","Nebraska",2068264,132741
"245","Newfoundland and Labrador","Nevada",3096,184343.9
"246","Newfoundland and Labrador","New Hampshire",485731326,87472
"247","Newfoundland and Labrador","New Jersey",3260910079,641877.6
"248","Newfoundland and Labrador","New Mexico",82515,103869.2
"249","Newfoundland and Labrador","New York",175225786,1793261.3
"250","Newfoundland and Labrador","North Carolina",16566499,593126.9
"251","Newfoundland and Labrador","Ohio",15593012,703127.8
"252","Newfoundland and Labrador","Oklahoma",172009,205262.6
"253","Newfoundland and Labrador","Oregon",1138185,248939.8
"254","Newfoundland and Labrador","Pennsylvania",302998604,803078
"255","Newfoundland and Labrador","Puerto Rico",280924829,NA
"256","Newfoundland and Labrador","Rhode Island",469444884,62526.9
"257","Newfoundland and Labrador","South Carolina",49256508,248046.5
"258","Newfoundland and Labrador","South Dakota",7904,55007.4
"259","Newfoundland and Labrador","Tennessee",20173980,385819.5
"260","Newfoundland and Labrador","Texas",3778742620,1860108.3
"261","Newfoundland and Labrador","US Virgin Islands",267,NA
"262","Newfoundland and Labrador","Unknown states",43162435,NA
"263","Newfoundland and Labrador","Utah",126860,201285.4
"264","Newfoundland and Labrador","Vermont",81102,34628.1
"265","Newfoundland and Labrador","Virginia",11701272,561989.6
"266","Newfoundland and Labrador","Washington",27729565,608966.4
"267","Newfoundland and Labrador","West Virginia",5770739,79883.8
"268","Newfoundland and Labrador","Wisconsin",3093611,347398.6
"269","Newfoundland and Labrador","Wyoming",12806,39971.4
"270","Northwest Territories","Alaska",32284,54469.9
"271","Northwest Territories","Colorado",13962,397701.6
"272","Northwest Territories","Florida",9674,1127988.6
"273","Northwest Territories","Georgia",5016,646939
"274","Northwest Territories","Illinois",236272,895800
"275","Northwest Territories","Indiana",3528,385446.2
"276","Northwest Territories","Kentucky",278458,220683.3
"277","Northwest Territories","Maryland",2995,419447.6
"278","Northwest Territories","Massachusetts",2429,588617.5
"279","Northwest Territories","New York",382690,1793261.3
"280","Northwest Territories","Ohio",1058,703127.8
"281","Northwest Territories","Pennsylvania",50936,803078
"282","Northwest Territories","Rhode Island",668490,62526.9
"283","Northwest Territories","Texas",63005,1860108.3
"284","Northwest Territories","Unknown states",243178,NA
"285","Northwest Territories","Washington",25383,608966.4
"286","Northwest Territories","Wisconsin",3930,347398.6
"287","Nova Scotia","Alabama",17014678,234526.4
"288","Nova Scotia","Alaska",1545213,54469.9
"289","Nova Scotia","Arizona",11166648,375545
"290","Nova Scotia","Arkansas",8976879,132637.2
"291","Nova Scotia","California",146125931,3062158.9
"292","Nova Scotia","Colorado",8955054,397701.6
"293","Nova Scotia","Connecticut",181253632,285466.4
"294","Nova Scotia","Delaware",2510876,78685.8
"295","Nova Scotia","District of Columbia",1045320,145171
"296","Nova Scotia","Florida",90320777,1127988.6
"297","Nova Scotia","Georgia",89177555,646939
"298","Nova Scotia","Hawaii",273903,93356.2
"299","Nova Scotia","Idaho",10221367,84550.2
"300","Nova Scotia","Illinois",489407637,895800
"301","Nova Scotia","Indiana",106880838,385446.2
"302","Nova Scotia","Iowa",19638599,196085.1
"303","Nova Scotia","Kansas",16154278,176917.7
"304","Nova Scotia","Kentucky",35436321,220683.3
"305","Nova Scotia","Louisiana",34968258,257096.7
"306","Nova Scotia","Maine",304427882,69298.2
"307","Nova Scotia","Maryland",119265065,419447.6
"308","Nova Scotia","Massachusetts",690530806,588617.5
"309","Nova Scotia","Michigan",50804069,536975.6
"310","Nova Scotia","Minnesota",13154721,383961.6
"311","Nova Scotia","Mississippi",15712240,115441.7
"312","Nova Scotia","Missouri",13287541,334364.7
"313","Nova Scotia","Montana",1190782,52772.5
"314","Nova Scotia","Nebraska",5665800,132741
"315","Nova Scotia","Nevada",32599882,184343.9
"316","Nova Scotia","New Hampshire",61581900,87472
"317","Nova Scotia","New Jersey",71409225,641877.6
"318","Nova Scotia","New Mexico",2740900,103869.2
"319","Nova Scotia","New York",163120658,1793261.3
"320","Nova Scotia","North Carolina",76714675,593126.9
"321","Nova Scotia","North Dakota",1598800,60516.3
"322","Nova Scotia","Ohio",49218676,703127.8
"323","Nova Scotia","Oklahoma",6460819,205262.6
"324","Nova Scotia","Oregon",34191241,248939.8
"325","Nova Scotia","Pennsylvania",129778257,803078
"326","Nova Scotia","Puerto Rico",149239979,NA
"327","Nova Scotia","Rhode Island",9962564,62526.9
"328","Nova Scotia","South Carolina",457341605,248046.5
"329","Nova Scotia","South Dakota",2987312,55007.4
"330","Nova Scotia","Tennessee",35524388,385819.5
"331","Nova Scotia","Texas",539969175,1860108.3
"332","Nova Scotia","US Virgin Islands",53839,NA
"333","Nova Scotia","Unknown states",53745025,NA
"334","Nova Scotia","Utah",3458257,201285.4
"335","Nova Scotia","Vermont",1986910,34628.1
"336","Nova Scotia","Virginia",78090181,561989.6
"337","Nova Scotia","Washington",27927694,608966.4
"338","Nova Scotia","West Virginia",15979758,79883.8
"339","Nova Scotia","Wisconsin",78780796,347398.6
"340","Nova Scotia","Wyoming",380523,39971.4
"341","Nunavut","California",184422,3062158.9
"342","Nunavut","Michigan",3035,536975.6
"343","Nunavut","Minnesota",5324,383961.6
"344","Nunavut","New Jersey",941,641877.6
"345","Nunavut","New York",31991,1793261.3
"346","Nunavut","Oregon",5016,248939.8
