workerid,year,sex,age,start_year,region,treated,earnings,sample_weight,quarter_birth,schooling
1,1999,M,55,1997,1,0,39975.008,.26076493,2,16
1,2001,M,57,1997,1,0,278378.06,.014273916,2,16
2,2001,M,54,2001,4,0,18682.6,.032186829,4,16
2,2002,M,55,2001,4,0,293336.41,.47120222,2,16
2,2003,M,56,2001,4,0,111797.26,.70438099,2,16
3,2005,M,54,2005,5,0,88351.672,.35590065,4,16
3,2010,M,59,2005,5,0,46229.574,.8969152,2,16
4,1997,M,45,1997,5,1,24911.029,.39900845,2,12
4,2001,M,49,1997,5,1,9908.3623,.55194622,3,12
5,2009,M,55,1998,2,1,137207.34,.014438981,3,14
5,2011,M,57,1998,2,1,5227.6899,.31822518,3,14
6,1995,M,41,1995,5,0,53620.355,.24548432,4,16
6,1999,M,45,1995,5,0,28902.344,.96820188,3,16
6,2000,M,46,1995,5,0,58023.734,.24533297,2,16
6,2003,M,49,1995,5,0,132451.77,.56865126,2,16
7,2007,M,49,2006,2,0,208644.75,.54297191,1,21
7,2009,M,51,2006,2,0,330875.19,.7181012,3,21
8,2007,M,48,1999,4,0,83872.563,.95374286,3,15
8,2010,M,51,1999,4,0,29126.709,.45737287,3,15
9,1997,M,35,1995,2,0,296822,.2725586,3,22
9,2006,M,44,1995,2,0,165501.42,.15762626,3,22
9,2008,M,46,1995,2,0,399610.88,.58345479,1,22
10,1999,M,34,1995,3,1,23455.502,.05105811,2,15
10,2001,M,36,1995,3,1,28081.395,.29229361,4,15
10,2002,M,37,1995,3,1,16827.1,.28393188,4,15
11,1996,M,55,1995,3,0,20401.527,.32485425,2,17
11,1997,M,56,1995,3,0,38037.633,.25520068,2,17
12,2000,M,58,1995,4,0,25679.334,.76550877,3,13
12,2001,M,59,1995,4,0,13154.443,.65915394,1,13
12,2002,M,60,1995,4,0,24012.121,.38037997,2,13
13,1996,M,50,1995,4,0,58104.313,.3210527,3,17
13,1997,M,51,1995,4,0,37268.059,.5091843,3,17
14,1995,M,44,1995,4,0,63075.742,.84791803,3,14
14,2002,M,51,1995,4,0,41008.887,.3175965,4,14
14,2003,M,52,1995,4,0,29224.723,.13044044,4,14
15,2006,M,54,2005,2,0,101288.94,.088049553,4,17
15,2011,M,59,2005,2,0,66684.594,.75832379,3,17
16,1998,M,46,1995,5,0,286090.69,.08734905,4,18
16,2000,M,48,1995,5,0,73331.313,.64974093,2,18
16,2001,M,49,1995,5,0,35742.82,.61214614,1,18
16,2006,M,54,1995,5,0,87323.867,.49926907,3,18
16,2009,M,57,1995,5,0,31756.906,.72492373,3,18
