month,province,avg_hourly_wage
2023-07,Alberta,34.75
2023-08,Alberta,34.91
2023-09,Alberta,35.65
2023-10,Alberta,35.05
2023-11,Alberta,35.73
2023-12,Alberta,35.74
2024-01,Alberta,35.54
2024-02,Alberta,36.0
2024-03,Alberta,36.16
2024-04,Alberta,36.65
2024-05,Alberta,36.59
2024-06,Alberta,36.37
2024-07,Alberta,36.27
2024-08,Alberta,36.53
2024-09,Alberta,36.59
2024-10,Alberta,36.65
2024-11,Alberta,36.73
2024-12,Alberta,36.52
2025-01,Alberta,36.69
2025-02,Alberta,36.94
2025-03,Alberta,37.04
2025-04,Alberta,36.7
2025-05,Alberta,36.77
2025-06,Alberta,37.79
2025-07,Alberta,37.53
2025-08,Alberta,37.57
2025-09,Alberta,37.85
2025-10,Alberta,37.93
2025-11,Alberta,37.65
2025-12,Alberta,37.65
2026-01,Alberta,37.84
2026-02,Alberta,38.26
2026-03,Alberta,38.6
2026-04,Alberta,39.1
2026-05,Alberta,38.53
2026-06,Alberta,38.61
2023-07,British Columbia,34.45
2023-08,British Columbia,34.78
2023-09,British Columbia,35.66
2023-10,British Columbia,35.67
2023-11,British Columbia,35.8
2023-12,British Columbia,35.8
2024-01,British Columbia,36.34
2024-02,British Columbia,36.59
2024-03,British Columbia,36.52
2024-04,British Columbia,36.49
2024-05,British Columbia,36.99
2024-06,British Columbia,36.74
2024-07,British Columbia,36.67
2024-08,British Columbia,36.29
2024-09,British Columbia,36.83
2024-10,British Columbia,36.84
2024-11,British Columbia,36.54
2024-12,British Columbia,36.92
2025-01,British Columbia,37.53
2025-02,British Columbia,37.89
2025-03,British Columbia,37.64
2025-04,British Columbia,38.24
2025-05,British Columbia,38.07
2025-06,British Columbia,37.62
2025-07,British Columbia,37.75
2025-08,British Columbia,37.58
2025-09,British Columbia,37.94
2025-10,British Columbia,38.23
2025-11,British Columbia,38.28
2025-12,British Columbia,38.6
2026-01,British Columbia,38.32
2026-02,British Columbia,38.92
2026-03,British Columbia,39.08
2026-04,British Columbia,39.19
2026-05,British Columbia,38.65
2026-06,British Columbia,38.63
2023-07,Manitoba,29.26
2023-08,Manitoba,29.46
2023-09,Manitoba,29.78
2023-10,Manitoba,29.99
2023-11,Manitoba,29.82
2023-12,Manitoba,30.03
2024-01,Manitoba,30.07
2024-02,Manitoba,29.97
2024-03,Manitoba,30.12
2024-04,Manitoba,30.57
2024-05,Manitoba,30.2
2024-06,Manitoba,30.18
2024-07,Manitoba,29.9
2024-08,Manitoba,29.79
2024-09,Manitoba,30.33
2024-10,Manitoba,31.02
2024-11,Manitoba,31.3
2024-12,Manitoba,31.23
2025-01,Manitoba,31.51
2025-02,Manitoba,31.73
2025-03,Manitoba,31.94
2025-04,Manitoba,31.48
2025-05,Manitoba,31.87
2025-06,Manitoba,31.25
2025-07,Manitoba,31.14
2025-08,Manitoba,31.26
2025-09,Manitoba,31.58
2025-10,Manitoba,31.75
2025-11,Manitoba,31.98
2025-12,Manitoba,32.07
2026-01,Manitoba,32.03
2026-02,Manitoba,32.36
2026-03,Manitoba,32.08
2026-04,Manitoba,32.24
2026-05,Manitoba,32.43
2026-06,Manitoba,31.92
2023-07,Ontario,34.44
2023-08,Ontario,34.63
2023-09,Ontario,35.09
2023-10,Ontario,35.28
2023-11,Ontario,35.45
2023-12,Ontario,35.7
2024-01,Ontario,36.11
2024-02,Ontario,35.97
2024-03,Ontario,35.81
2024-04,Ontario,35.83
2024-05,Ontario,35.65
2024-06,Ontario,35.81
2024-07,Ontario,36.11
2024-08,Ontario,36.61
2024-09,Ontario,37.09
2024-10,Ontario,37.48
2024-11,Ontario,37.42
2024-12,Ontario,37.39
2025-01,Ontario,37.29
2025-02,Ontario,37.39
2025-03,Ontario,37.28
2025-04,Ontario,37.36
2025-05,Ontario,37.44
2025-06,Ontario,37.12
2025-07,Ontario,37.42
2025-08,Ontario,37.61
2025-09,Ontario,38.17
2025-10,Ontario,38.68
2025-11,Ontario,38.48
2025-12,Ontario,38.32
2026-01,Ontario,38.49
2026-02,Ontario,38.97
2026-03,Ontario,39.09
2026-04,Ontario,38.93
2026-05,Ontario,38.22
2026-06,Ontario,38.31
2023-07,Quebec,31.86
2023-08,Quebec,32.24
2023-09,Quebec,32.59
2023-10,Quebec,32.76
2023-11,Quebec,32.81
2023-12,Quebec,33.02
2024-01,Quebec,33.32
2024-02,Quebec,33.44
2024-03,Quebec,33.57
2024-04,Quebec,33.67
2024-05,Quebec,33.9
2024-06,Quebec,33.76
2024-07,Quebec,33.79
2024-08,Quebec,33.82
2024-09,Quebec,34.23
2024-10,Quebec,34.17
2024-11,Quebec,34.1
2024-12,Quebec,34.3
2025-01,Quebec,34.63
2025-02,Quebec,34.69
2025-03,Quebec,34.54
2025-04,Quebec,34.68
2025-05,Quebec,34.77
2025-06,Quebec,34.54
2025-07,Quebec,34.78
2025-08,Quebec,35.07
2025-09,Quebec,35.55
2025-10,Quebec,35.63
2025-11,Quebec,35.69
2025-12,Quebec,36.0
2026-01,Quebec,36.28
2026-02,Quebec,36.45
2026-03,Quebec,36.74
2026-04,Quebec,36.73
2026-05,Quebec,36.4
2026-06,Quebec,36.18
2023-07,Saskatchewan,31.27
2023-08,Saskatchewan,31.51
2023-09,Saskatchewan,32.05
2023-10,Saskatchewan,31.73
2023-11,Saskatchewan,31.86
2023-12,Saskatchewan,32.28
2024-01,Saskatchewan,32.2
2024-02,Saskatchewan,32.15
2024-03,Saskatchewan,32.38
2024-04,Saskatchewan,32.73
2024-05,Saskatchewan,32.21
2024-06,Saskatchewan,32.3
2024-07,Saskatchewan,32.09
2024-08,Saskatchewan,32.23
2024-09,Saskatchewan,32.88
2024-10,Saskatchewan,33.27
2024-11,Saskatchewan,32.86
2024-12,Saskatchewan,33.62
2025-01,Saskatchewan,33.45
2025-02,Saskatchewan,33.38
2025-03,Saskatchewan,33.4
2025-04,Saskatchewan,33.19
2025-05,Saskatchewan,33.06
2025-06,Saskatchewan,33.13
2025-07,Saskatchewan,33.09
2025-08,Saskatchewan,33.49
2025-09,Saskatchewan,33.84
2025-10,Saskatchewan,33.53
2025-11,Saskatchewan,33.61
2025-12,Saskatchewan,33.48
2026-01,Saskatchewan,33.42
2026-02,Saskatchewan,34.09
2026-03,Saskatchewan,34.11
2026-04,Saskatchewan,34.67
2026-05,Saskatchewan,34.41
2026-06,Saskatchewan,34.26
