Author,Topic,Stance,Correlation
Act 1884,labor,Pro,0.3278
Act 1884,labor,Cons,-0.1024
Act 1884,legislation,Pro,-0.5184
Act 1884,legislation,Cons,0.0296
Act 1884,license,Pro,-0.0818
Act 1884,license,Cons,0.3766
Act 1884,taxation,Pro,-0.4991
Act 1884,taxation,Cons,0.2079
Begbie,labor,Pro,0.1119
Begbie,labor,Cons,-0.1904
Begbie,legislation,Pro,0.388
Begbie,legislation,Cons,-0.507
Begbie,license,Pro,0.1162
Begbie,license,Cons,-0.3348
Begbie,taxation,Pro,0.1403
Begbie,taxation,Cons,-0.0736
Crease,labor,Pro,-0.1006
Crease,labor,Cons,0.3026
Crease,legislation,Pro,0.0997
Crease,legislation,Cons,-0.0377
Crease,license,Pro,-0.0126
Crease,license,Cons,0.074
Crease,taxation,Pro,-0.0906
Crease,taxation,Cons,0.0007
