comment_id,comment_text,toxicity,is_toxic,n_raters,n_toxic_votes,article_id,publication_id,created_date,rating,n_chars,n_words,mentions_identity,male,female,transgender,other_gender,heterosexual,homosexual_gay_or_lesbian,bisexual,other_sexual_orientation,christian,jewish,muslim,hindu,buddhist,atheist,other_religion,black,white,asian,latino,other_race_or_ethnicity,physical_disability,intellectual_or_learning_disability,psychiatric_or_mental_illness,other_disability
5006655,Kaiser Sucks! If it wasn't for Obamacare. Group Health would not have been taken over by Kaiser. We have already had problems with Kaiser as of late.,0.6266666666666667,yes,75,47,319505,66,2017-03-15 11:42:21.091224+00,approved,149,27,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5201700,"It's always funny when you asshurting libs cry for revolution.  Bring it on, cupcake, we're waiting.  When your weapons consist of organic tomatoes and gluten free pop tarts don't expect the average Alaskan to have even the slightest fear.  I'm sure all the vagina-wearing Wall Street protesters will have your back.",0.5,yes,10,5,330927,21,2017-05-01 19:15:54.127801+00,rejected,316,51,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1018898,"This has nothing to do with sensitivity, but simply reality. I like everyone else are a little tired of the ""coffee shop"". philosophy of white privilege, and white superiority being thrown around as some sort of talisman to end all discussion. I could recommend a number of good books on First Nations, a term coined recently as far as history is concerned, however I doubt you would read them",0.0,no,4,0,169202,54,2017-02-20 10:43:09.409574+00,approved,393,69,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6183769,"A woman's fertility is the woman's not yours.  So unless you are willing to drop your pants and put your prostate health into our Christian hands, you are a hypocrite.",0.8,yes,65,52,390442,53,2017-10-19 22:31:14.435915+00,approved,167,30,True,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5702386,Not crediting trump with anything....just the devil's advocate when people accuse him of being the anti-christ...pun intended,0.5,yes,10,5,362048,102,2017-08-02 14:58:35.872415+00,approved,125,17,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
719873,"Johann, you are a total dope!! Who is the current president of the USA right now? Its your boy Obama and he is just going to rolled over like a whipped dog....woof-woof-woof.... while the Chinese spit into our faces.",0.8026315789473683,yes,76,61,157013,21,2016-12-16 20:50:36.032339+00,approved,216,39,False,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0
336841,"if it wasn't for obstructionist liberals, they could have cut more and done a real job.",0.0,no,4,0,137955,21,2016-06-03 03:34:52.665365+00,rejected,87,16,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5620030,Tackle what?,0.0,no,5,0,357038,55,2017-07-19 14:48:24.908432+00,approved,12,2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
373941,".....except Ostrander also broke the standing record last year herself and was about a minute behind Forsberg. And the third place woman (Alaskan) definitely wasn't ""five minutes behind"" that record. 

I bet you can't run from your couch to the fridge, so any criticism from you is pretty meaningless.",0.0,no,4,0,140602,21,2016-07-03 17:27:21.371450+00,approved,301,49,True,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5795858,"FC,
It's probably petty easy to take that kind of position, as long as you're either in full agreement with what the church teaches, or willing to walk away from what your own mind and experience may be telling you.  I say that with no rancor whatsoever.  

Oddly however, I've seen no shortage of folks here who might post what you posted, who seem to get pretty worked up when somebody like Francis seems to lean in favor of making changes that make them uncomfortable.  Then it becomes something very different: a problematic (or worse) pope, a camel's nose under the tent wall, etc...

But it seems to me that to take the position you take in your post would require a willingness to accept ANY changes made by the hierarchy, and accept that change as being from God.  Surely one can't have it both ways, right?  Or is there a working assumption that only conservative voices can know and learn the truth?",0.0,no,4,0,367498,53,2017-08-18 17:42:16.578452+00,approved,909,163,True,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5487343,"None of his supporters, that's for sure. I mean if you don't care that he is a disgusting, vile, incompetent, mentally unstable, con man, why would you care about a silly faked magazine cover.",0.6491228070175439,yes,57,37,349240,102,2017-06-27 20:28:40.206569+00,approved,192,34,False,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0
5432038,"That's right. Only white men are allowed to be racist and sexist. 

Know your place, Robin H.",0.7285714285714285,yes,70,51,345431,54,2017-06-17 15:44:22.761130+00,rejected,93,17,True,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6022490,"Oh please.  How silly.  Where is the leadership in the Black communities.  Jesse Jackson, Al Sharpton?  No they just keep telling their base how downtrodden they are in order to justify there personal existence, and keep the money flowing into their racist organizations.
These players are just whinners, who know nothing and propose NO solutions, as they drive away from the stadium each Sunday in their $200,000 dollar Lamborghinis.",0.5277777777777778,yes,72,38,381820,55,2017-09-25 22:54:17.146924+00,approved,434,69,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
731778,Have you read the Quaran?  Islam is a virus that will erode western civikization. There are NO moderate versions of this stone age philosophy,0.6,yes,10,6,157472,54,2016-12-20 01:36:40.865465+00,rejected,141,24,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
