comment_id,n_raters,n_toxic_votes,share_toxic
detox_2232,10,1,0.1
detox_4216,10,0,0.0
detox_8953,10,0,0.0
detox_26547,10,0,0.0
detox_28959,10,2,0.2
detox_35367,10,1,0.1
detox_37330,10,3,0.3
detox_37346,10,1,0.1
detox_37675,10,2,0.2
detox_44377,10,0,0.0
detox_52473,10,0,0.0
detox_66667,10,0,0.0
detox_91460,10,1,0.1
detox_109914,10,1,0.1
detox_113226,10,0,0.0
detox_114890,10,1,0.1
detox_116583,9,0,0.0
detox_120509,10,0,0.0
detox_132491,10,1,0.1
detox_138074,10,0,0.0
detox_139768,10,0,0.0
detox_143728,10,0,0.0
detox_146770,10,0,0.0
detox_153941,10,0,0.0
detox_162213,10,0,0.0
detox_175279,10,0,0.0
detox_177450,10,0,0.0
detox_179630,10,0,0.0
detox_188130,10,0,0.0
detox_189361,10,0,0.0
detox_195355,10,0,0.0
detox_198261,10,0,0.0
detox_200354,10,0,0.0
detox_200664,10,0,0.0
detox_201712,10,0,0.0
detox_207166,10,0,0.0
detox_207582,10,0,0.0
detox_213105,10,0,0.0
detox_218624,10,0,0.0
detox_225277,10,1,0.1
detox_225986,10,0,0.0
detox_227181,11,0,0.0
detox_250290,10,1,0.1
detox_258303,10,1,0.1
detox_270660,10,0,0.0
detox_279420,10,1,0.1
detox_281382,10,0,0.0
detox_285223,10,1,0.1
detox_297866,10,1,0.1
detox_309756,10,0,0.0
detox_313929,10,0,0.0
detox_315967,10,0,0.0
detox_325217,10,0,0.0
detox_344571,10,0,0.0
detox_369632,10,1,0.1
detox_372885,10,0,0.0
detox_421759,10,0,0.0
detox_424060,10,0,0.0
detox_427355,10,0,0.0
detox_436779,10,0,0.0
detox_440929,10,0,0.0
detox_442563,10,0,0.0
detox_450405,10,0,0.0
detox_452612,10,1,0.1
detox_460704,11,3,0.2727272727272727
detox_478459,10,0,0.0
detox_482033,10,2,0.2
detox_527004,10,0,0.0
detox_529575,10,1,0.1
detox_535667,10,0,0.0
detox_546477,10,0,0.0
detox_570342,10,1,0.1
detox_576228,10,0,0.0
detox_577214,10,0,0.0
detox_581297,10,1,0.1
detox_587384,10,0,0.0
detox_587393,10,0,0.0
detox_593987,10,2,0.2
detox_594502,10,0,0.0
detox_595963,10,0,0.0
detox_597212,10,6,0.6
detox_598296,10,0,0.0
detox_603474,10,0,0.0
detox_607274,10,0,0.0
detox_608166,10,2,0.2
detox_612650,10,0,0.0
detox_615528,10,0,0.0
detox_616393,10,0,0.0
detox_617026,10,0,0.0
detox_620797,10,0,0.0
detox_622082,10,0,0.0
detox_623718,10,1,0.1
detox_630630,10,1,0.1
detox_639419,10,1,0.1
detox_655852,10,0,0.0
detox_659391,10,2,0.2
detox_672149,10,1,0.1
detox_672191,10,1,0.1
detox_672331,11,0,0.0
detox_672976,10,0,0.0
detox_673906,10,1,0.1
detox_682829,10,5,0.5
detox_684743,10,0,0.0
detox_685917,10,0,0.0
detox_694234,10,0,0.0
detox_697935,10,0,0.0
detox_705539,10,0,0.0
detox_712490,10,1,0.1
detox_718907,10,0,0.0
detox_723811,10,0,0.0
detox_727773,10,0,0.0
detox_728052,10,0,0.0
detox_732895,10,1,0.1
detox_739998,10,0,0.0
detox_740297,10,0,0.0
