comment_id,n_raters,n_toxic_votes,toxicity
627762,10,8,0.8
5892815,70,53,0.7571428571428571
416437,61,42,0.6885245901639344
5137126,11,6,0.5454545454545454
855753,70,51,0.7285714285714285
379144,74,44,0.5945945945945946
377096,76,56,0.7368421052631579
641883,68,52,0.7647058823529411
5218990,4,4,1.0
5483824,64,27,0.421875
5918408,11,2,0.1818181818181818
7122949,9,1,0.1111111111111111
5541519,66,50,0.7575757575757573
5697567,10,8,0.8
422446,80,50,0.625
615780,70,46,0.6571428571428571
901685,7,1,0.1428571428571428
5621001,70,60,0.8571428571428571
7160163,71,36,0.5070422535211268
5957819,70,29,0.4142857142857143
771035,58,48,0.8275862068965517
5927235,77,28,0.3636363636363637
850325,62,48,0.7741935483870966
581182,5,4,0.8
5702122,5,4,0.8
5125848,63,40,0.6349206349206349
5718963,10,8,0.8
6216834,58,40,0.6896551724137931
833414,76,61,0.8026315789473683
904304,70,51,0.7285714285714285
6084809,74,41,0.5540540540540541
6121135,10,8,0.8
341109,5,4,0.8
5704838,66,51,0.7727272727272726
648165,70,47,0.6714285714285714
502880,10,8,0.8
5385250,59,44,0.7457627118644069
7063551,70,48,0.6857142857142857
5412962,11,2,0.1818181818181818
255418,72,42,0.5833333333333334
5396475,10,8,0.8
5356064,70,47,0.6714285714285714
5093234,53,19,0.3584905660377358
7179413,54,45,0.8333333333333333
5104322,71,28,0.3943661971830985
685691,9,1,0.1111111111111111
6220372,74,44,0.5945945945945946
6082921,76,36,0.4736842105263158
6285268,77,54,0.7012987012987013
358793,69,44,0.6376811594202898
5251973,68,36,0.5294117647058824
7040228,80,60,0.75
916797,77,28,0.3636363636363637
525440,10,8,0.8
5767619,70,34,0.4857142857142857
5860281,6,5,0.8333333333333333
5793868,8,1,0.125
979637,74,33,0.4459459459459459
912948,76,66,0.8684210526315791
5644926,39,3,0.0769230769230769
569708,50,46,0.92
474051,4,4,1.0
290315,70,57,0.8142857142857142
1037659,70,50,0.7142857142857143
778060,10,8,0.8
454890,80,41,0.5125
5319595,80,42,0.525
457350,4,4,1.0
5107520,10,8,0.8
5113177,7,1,0.1428571428571428
5830521,10,8,0.8
5627449,66,55,0.8333333333333333
590675,70,41,0.5857142857142859
6123666,70,45,0.6428571428571429
5809199,71,28,0.3943661971830985
5786853,76,32,0.4210526315789473
891012,42,6,0.1428571428571428
674871,65,38,0.5846153846153846
5816940,50,46,0.92
412193,59,35,0.5932203389830508
5421185,70,61,0.8714285714285714
454741,59,13,0.2203389830508474
5712507,52,48,0.9230769230769232
6089055,74,54,0.7297297297297298
679669,56,17,0.3035714285714285
642230,51,48,0.9411764705882352
5196035,70,32,0.4571428571428571
7033942,76,43,0.5657894736842105
430826,60,38,0.6333333333333333
744544,75,50,0.6666666666666666
5694956,56,12,0.2142857142857142
5231664,70,57,0.8142857142857142
814175,71,60,0.8450704225352113
5246977,54,17,0.3148148148148148
5857800,80,46,0.575
6017025,70,52,0.7428571428571427
5412459,10,9,0.9
293017,74,39,0.527027027027027
5986067,80,54,0.675
7050189,56,16,0.2857142857142857
5658992,4,4,1.0
6159034,70,45,0.6428571428571429
4988069,7,1,0.1428571428571428
7091215,60,53,0.8833333333333333
4994959,74,26,0.3513513513513513
5244912,70,57,0.8142857142857142
5406015,75,62,0.8266666666666665
266388,64,53,0.828125
1025295,76,58,0.7631578947368421
5879103,9,1,0.1111111111111111
987228,76,40,0.5263157894736842
455265,46,37,0.8043478260869565
6234491,76,55,0.7236842105263158
5547906,53,12,0.2264150943396226
5835255,80,54,0.675
590496,54,40,0.7407407407407407
576663,52,27,0.5192307692307693
5069332,70,51,0.7285714285714285
7001609,66,34,0.5151515151515152
5748968,55,20,0.3636363636363637
5384463,80,68,0.85
6235648,59,20,0.3389830508474576
5777973,69,32,0.463768115942029
6303930,80,50,0.625
4993408,70,40,0.5714285714285714
1071782,10,8,0.8
805459,66,34,0.5151515151515152
603311,10,8,0.8
2676216,4,4,1.0
6201216,5,5,1.0
5347538,11,2,0.1818181818181818
5466853,72,59,0.8194444444444445
5436316,71,47,0.6619718309859155
5527345,52,47,0.903846153846154
494858,10,9,0.9
492493,49,37,0.7551020408163264
5327201,58,30,0.5172413793103449
5791089,10,9,0.9
941859,60,47,0.7833333333333333
5506748,10,9,0.9
867774,66,56,0.8484848484848485
6205906,68,51,0.75
520091,6,5,0.8333333333333333
5746555,50,42,0.84
5247212,71,44,0.6197183098591549
5254326,70,33,0.4714285714285714
6177355,70,57,0.8142857142857142
7018032,70,57,0.8142857142857142
6031513,1120,2,0.0017857142857142
352052,71,29,0.4084507042253521
6281853,65,21,0.3230769230769231
5052905,10,8,0.8
5442508,45,11,0.2444444444444444
5951008,82,57,0.6951219512195121
6045935,62,39,0.6290322580645161
6171226,68,61,0.8970588235294118
7103457,62,35,0.5645161290322581
5189889,43,8,0.1860465116279068
863881,80,38,0.475
896958,11,3,0.2727272727272727
812231,7,1,0.1428571428571428
5579850,59,33,0.559322033898305
7023950,59,33,0.559322033898305
763967,74,46,0.6216216216216216
649617,70,46,0.6571428571428571
6169227,66,47,0.7121212121212122
951812,69,47,0.6811594202898551
502425,75,35,0.4666666666666666
655606,76,48,0.631578947368421
6122508,71,39,0.5492957746478874
7006362,62,19,0.3064516129032258
5188688,1353,251,0.1855136733185513
789162,64,45,0.703125
5263818,51,48,0.9411764705882352
7184543,70,36,0.5142857142857142
704011,8,1,0.125
5953127,80,35,0.4375
5950747,10,8,0.8
5684725,64,28,0.4375
5037491,10,9,0.9
423601,71,43,0.6056338028169014
5383495,39,4,0.1025641025641025
6266210,9,1,0.1111111111111111
5137181,54,11,0.2037037037037036
5960685,70,22,0.3142857142857143
661511,70,47,0.6714285714285714
6131554,71,45,0.6338028169014085
555650,72,37,0.5138888888888888
5169512,58,27,0.4655172413793103
411245,74,36,0.4864864864864865
5113488,66,35,0.5303030303030303
5862561,10,9,0.9
5183118,75,64,0.8533333333333334
7046091,76,53,0.6973684210526315
573815,80,29,0.3625
6240574,10,8,0.8
915032,71,39,0.5492957746478874
5466444,68,27,0.3970588235294117
5817782,70,57,0.8142857142857142
538478,10,9,0.9
6270342,64,47,0.734375
5798563,80,43,0.5375
5224634,10,8,0.8
5430615,6,5,0.8333333333333333
922193,76,51,0.6710526315789473
5182415,75,53,0.7066666666666666
854425,60,38,0.6333333333333333
5072606,1828,1729,0.9458424507658644
6224461,75,26,0.3466666666666667
7039769,11,8,0.7272727272727274
500698,59,55,0.9322033898305084
5921872,10,8,0.8
5812267,75,34,0.4533333333333333
6169899,10,9,0.9
5609711,80,68,0.85
701513,54,43,0.7962962962962963
5541470,64,28,0.4375
5800297,55,46,0.8363636363636363
7093971,4,4,1.0
966818,7,1,0.1428571428571428
5951468,57,32,0.5614035087719298
582246,74,45,0.6081081081081081
5406583,66,48,0.7272727272727274
5844647,75,58,0.7733333333333333
5540584,50,11,0.22
841654,58,16,0.2758620689655172
7173192,80,59,0.7375
6237416,76,50,0.6578947368421053
517130,80,45,0.5625
5088666,55,45,0.8181818181818182
5695181,64,23,0.359375
424214,38,2,0.0526315789473684
1078452,7,1,0.1428571428571428
591754,67,41,0.6119402985074626
320655,70,38,0.5428571428571428
5772387,62,50,0.8064516129032258
6203647,46,9,0.1956521739130435
1020695,72,51,0.7083333333333334
6006861,72,51,0.7083333333333334
5610161,62,24,0.3870967741935484
250539,54,44,0.8148148148148147
5788003,48,36,0.75
482571,71,16,0.2253521126760563
7177989,55,42,0.7636363636363634
741089,71,52,0.732394366197183
5165504,41,3,0.073170731707317
7139185,68,37,0.5441176470588234
5195647,67,29,0.4328358208955224
5640442,64,33,0.515625
6055596,80,44,0.55
890653,10,8,0.8
5866358,70,54,0.7714285714285714
261405,62,37,0.5967741935483871
6256985,52,15,0.2884615384615384
7090885,6,5,0.8333333333333333
684622,11,3,0.2727272727272727
451769,53,16,0.3018867924528302
5058159,74,42,0.5675675675675675
353134,76,54,0.7105263157894737
5097877,10,8,0.8
5357951,80,51,0.6375
803800,68,47,0.6911764705882353
7104793,6,6,1.0
7174157,75,56,0.7466666666666667
5010599,7,1,0.1428571428571428
7172440,64,34,0.53125
6050725,6,5,0.8333333333333333
5075327,70,34,0.4857142857142857
5191900,75,42,0.56
5463651,80,47,0.5875
944330,65,41,0.6307692307692307
6261211,66,22,0.3333333333333333
5992658,70,59,0.8428571428571427
5497964,70,51,0.7285714285714285
5427545,10,8,0.8
5164248,66,55,0.8333333333333333
650072,60,54,0.9
588174,67,17,0.2537313432835821
336141,72,50,0.6944444444444444
5609982,38,3,0.0789473684210526
847521,41,2,0.048780487804878
765049,61,23,0.3770491803278688
5621566,70,30,0.4285714285714285
601299,10,8,0.8
5160490,80,52,0.65
5908121,64,34,0.53125
964082,76,35,0.4605263157894737
5073283,76,34,0.4473684210526316
6118638,43,8,0.1860465116279068
7172783,7,1,0.1428571428571428
5496709,55,48,0.8727272727272726
7009723,65,41,0.6307692307692307
888148,80,70,0.875
5763244,70,31,0.4428571428571429
5280460,70,36,0.5142857142857142
7115385,66,34,0.5151515151515152
7166703,7,1,0.1428571428571428
5662680,65,29,0.4461538461538461
768958,60,47,0.7833333333333333
7102075,70,59,0.8428571428571427
6065841,6,5,0.8333333333333333
5624530,6,5,0.8333333333333333
5957998,76,57,0.75
6031199,76,62,0.8157894736842106
6285048,50,8,0.16
588866,80,75,0.9375
6294007,66,48,0.7272727272727274
5691374,6,6,1.0
5794148,58,43,0.7413793103448275
7068345,80,63,0.7875
5563525,80,39,0.4875
5747647,80,63,0.7875
5187997,11,8,0.7272727272727274
7041415,10,8,0.8
5076720,10,8,0.8
6173926,70,26,0.3714285714285713
5027802,68,40,0.5882352941176471
1015026,80,49,0.6125
769356,62,56,0.9032258064516128
6024761,76,52,0.6842105263157895
6144051,72,66,0.9166666666666666
5581713,6,6,1.0
988070,75,31,0.4133333333333333
846848,70,51,0.7285714285714285
6125476,70,39,0.5571428571428572
5239057,66,50,0.7575757575757573
6062575,70,48,0.6857142857142857
7159470,68,48,0.7058823529411765
5459191,74,35,0.472972972972973
5915416,59,28,0.4745762711864407
855974,9,1,0.1111111111111111
725910,71,50,0.7042253521126759
832491,10,8,0.8
1059973,72,32,0.4444444444444444
5916786,75,41,0.5466666666666666
6312729,74,47,0.6351351351351351
514669,58,43,0.7413793103448275
6189585,66,44,0.6666666666666666
927060,66,19,0.2878787878787879
6092688,72,37,0.5138888888888888
6164155,67,60,0.8955223880597014
5698858,69,64,0.927536231884058
5253750,7,1,0.1428571428571428
922659,10,9,0.9
5240429,54,40,0.7407407407407407
1019831,10,10,1.0
868626,70,43,0.6142857142857143
5860565,6,5,0.8333333333333333
5346622,10,8,0.8
583259,6,5,0.8333333333333333
379347,5,5,1.0
607856,40,3,0.075
5986225,63,27,0.4285714285714285
5650494,5,4,0.8
349061,44,38,0.8636363636363635
6124533,61,58,0.9508196721311476
5412136,50,14,0.28
5324092,49,10,0.2040816326530612
5397817,4,4,1.0
559221,10,8,0.8
6298861,80,47,0.5875
982983,80,55,0.6875
5799681,74,48,0.6486486486486487
5300983,57,11,0.1929824561403508
5927342,68,25,0.3676470588235294
7166759,80,55,0.6875
5627473,9,1,0.1111111111111111
6046720,61,25,0.4098360655737705
5698997,70,67,0.9571428571428572
5991531,80,46,0.575
6246957,7,1,0.1428571428571428
5985361,66,47,0.7121212121212122
5525382,74,50,0.6756756756756757
977675,62,23,0.3709677419354839
7025647,76,37,0.4868421052631579
5475790,70,38,0.5428571428571428
5970798,80,44,0.55
578454,64,41,0.640625
5048051,6,5,0.8333333333333333
5566423,11,4,0.3636363636363637
5849051,4,4,1.0
491941,68,29,0.4264705882352941
5599441,80,49,0.6125
480490,70,62,0.8857142857142858
5804274,80,60,0.75
673090,53,17,0.3207547169811321
5162794,74,23,0.3108108108108108
411935,76,39,0.5131578947368421
302337,65,17,0.2615384615384615
329127,65,17,0.2615384615384615
5418088,65,49,0.7538461538461538
6004331,5,4,0.8
5504882,54,44,0.8148148148148147
6059579,4,1,0.25
5112250,50,36,0.72
5625069,10,8,0.8
1018621,64,52,0.8125
5786598,80,37,0.4625
6333112,6,5,0.8333333333333333
970557,56,49,0.875
5169024,47,40,0.851063829787234
555738,10,10,1.0
7002432,6,6,1.0
6247952,62,53,0.8548387096774194
5644123,64,45,0.703125
7193852,55,16,0.2909090909090909
516234,80,46,0.575
5311701,10,8,0.8
5504238,74,41,0.5540540540540541
866174,75,56,0.7466666666666667
5133248,77,52,0.6753246753246753
712723,4,4,1.0
866280,44,40,0.9090909090909092
5235133,75,40,0.5333333333333333
377315,72,41,0.5694444444444444
5815552,64,47,0.734375
5806788,4,4,1.0
755208,75,33,0.44
6010630,74,55,0.7432432432432432
7116716,80,72,0.9
580568,4,4,1.0
5414098,40,3,0.075
566360,66,56,0.8484848484848485
7080283,75,42,0.56
917011,70,41,0.5857142857142859
5058854,74,45,0.6081081081081081
627361,44,39,0.8863636363636364
5957423,66,17,0.2575757575757576
1048067,46,8,0.1739130434782608
278273,66,48,0.7272727272727274
773973,61,53,0.8688524590163934
5820386,70,44,0.6285714285714286
6246279,70,34,0.4857142857142857
5992066,10,8,0.8
1017901,70,60,0.8571428571428571
5505201,60,45,0.75
6030159,80,53,0.6625
5690713,62,49,0.7903225806451613
5638211,75,64,0.8533333333333334
6199343,66,21,0.3181818181818182
5789195,59,14,0.2372881355932203
7064671,54,51,0.9444444444444444
1004182,43,6,0.1395348837209302
985187,74,35,0.472972972972973
594632,10,8,0.8
940728,76,41,0.5394736842105263
944463,54,41,0.7592592592592593
470493,68,24,0.3529411764705882
844930,66,49,0.7424242424242424
5766760,68,40,0.5882352941176471
1001884,54,15,0.2777777777777777
5129165,80,42,0.525
644843,65,44,0.676923076923077
5798459,42,38,0.9047619047619048
963393,6,5,0.8333333333333333
7114466,75,43,0.5733333333333334
880994,70,25,0.3571428571428571
7145725,76,37,0.4868421052631579
390440,76,41,0.5394736842105263
698017,9,1,0.1111111111111111
772464,80,46,0.575
7192896,55,51,0.9272727272727272
890542,55,35,0.6363636363636364
6068222,76,34,0.4473684210526316
5473370,7,1,0.1428571428571428
684034,50,41,0.82
5158628,62,50,0.8064516129032258
6237937,62,51,0.8225806451612901
5373120,62,20,0.3225806451612903
5243288,49,40,0.816326530612245
6193793,9,1,0.1111111111111111
5486955,66,36,0.5454545454545454
5901787,9,1,0.1111111111111111
871559,42,4,0.0952380952380952
5558736,76,53,0.6973684210526315
378355,1395,38,0.0272401433691756
5774306,5,4,0.8
7036801,48,35,0.7291666666666666
5321463,80,53,0.6625
5301721,9,1,0.1111111111111111
5355530,76,25,0.3289473684210526
434501,66,45,0.6818181818181818
7079635,63,50,0.7936507936507936
420582,76,49,0.6447368421052632
5494749,68,38,0.5588235294117647
5160527,64,46,0.71875
6229045,76,50,0.6578947368421053
6075691,70,25,0.3571428571428571
7163486,61,45,0.7377049180327869
5861597,11,5,0.4545454545454545
1062561,4,4,1.0
7138797,60,31,0.5166666666666667
6006369,76,45,0.5921052631578946
827330,10,8,0.8
667792,66,52,0.7878787878787878
